=== Training Configuration ===
data_path: data/dataset_name/train
train_batch_size: 2
valid_batch_size: 2
num_workers: 0
num_epochs: 250
accumulation_steps: 4
segmentation_model: Unet
encoder: resnet101
pretrained_weights: imagenet
activation_function: sigmoid
use_deep_decoder: False
loss_function: FocalTverskyLoss
optimizer: AdamW
lr: 5e-05
lambda_reg: 0.2
lambda_cls: 0.3
lr_schedule: onecycle
logs_file_path: output/logs/training_logs.txt
model_save_path: output/models/density_model.pth
confusion_matrix_epochs: 50
tsne_plot: True
device_ids: None
weight_decay: 0.0001

=== Training Progress ===
Epoch	Train_Loss	Train_Dice	Train_RegMAE	Train_BIRADS	Val_Loss	Val_Dice	Val_RegMAE	Val_BIRADS	Comb_Score
107	0.3784	0.8396	6.10	77.75	0.6640	0.8298	6.66	72.88	0.8304
108	0.4074	0.8427	6.00	75.85	0.7017	0.8247	7.97	75.42	0.8310
109	0.3883	0.8420	6.18	76.91	0.6288	0.8137	8.48	77.12	0.8284
110	0.3694	0.8457	5.74	78.18	0.5738	0.8202	7.29	70.34	0.8177
111	0.3703	0.8489	5.77	76.69	0.7520	0.8192	6.66	72.88	0.8251
112	0.3703	0.8456	5.84	78.81	0.6716	0.8100	7.63	78.81	0.8330
113	0.3649	0.8464	5.95	76.91	0.6624	0.8124	7.56	73.73	0.8216
114	0.3665	0.8523	5.60	77.54	0.5432	0.8182	11.81	76.27	0.8202
115	0.3620	0.8480	5.70	81.78	0.6140	0.8187	11.57	83.05	0.8380
116	0.3508	0.8484	5.47	76.91	0.8477	0.8353	6.38	74.58	0.8382
117	0.3436	0.8551	5.33	79.24	0.8995	0.8079	6.08	72.03	0.8188
118	0.3445	0.8532	5.61	80.51	0.6502	0.8330	5.92	72.88	0.8339
119	0.3501	0.8567	5.75	80.51	0.6150	0.8279	10.32	81.36	0.8415
120	0.3312	0.8630	5.49	80.51	0.7858	0.8315	6.61	74.58	0.8357
121	0.3352	0.8548	5.35	81.99	0.5232	0.8310	7.47	71.19	0.8248
122	0.3348	0.8600	5.47	81.78	0.9665	0.8298	5.77	71.19	0.8284
123	0.3668	0.8563	5.60	84.75	0.7260	0.8307	7.44	72.88	0.8290
124	0.3386	0.8576	5.64	84.75	0.8146	0.8353	6.01	73.73	0.8370
125	0.3345	0.8591	5.42	82.63	0.6692	0.8352	9.94	83.90	0.8525
126	0.3278	0.8610	5.30	83.90	0.7918	0.8174	5.71	72.88	0.8266
127	0.3241	0.8643	5.47	86.23	1.0044	0.8355	5.67	72.88	0.8357
128	0.3224	0.8644	5.26	88.14	0.6659	0.8256	8.78	78.81	0.8379
129	0.3196	0.8617	5.09	86.65	0.9540	0.8253	5.89	76.27	0.8386
130	0.3279	0.8610	5.71	84.96	0.9377	0.8330	6.02	78.81	0.8485
131	0.3176	0.8702	5.35	91.31	0.8306	0.8365	6.05	79.66	0.8523
132	0.3188	0.8634	5.36	86.44	0.5824	0.8428	7.03	86.44	0.8699
133	0.3185	0.8678	5.22	88.98	0.6531	0.8296	7.08	81.36	0.8505
134	0.3162	0.8651	5.32	86.44	0.7511	0.8251	7.44	77.12	0.8368
135	0.3139	0.8671	5.57	89.41	0.9599	0.8305	5.38	74.58	0.8383
136	0.3123	0.8654	5.53	87.71	0.6521	0.8254	8.62	80.51	0.8425
137	0.3175	0.8720	5.37	91.74	0.8350	0.8379	7.15	83.05	0.8587
138	0.3083	0.8708	5.09	91.31	1.0579	0.8289	5.91	75.42	0.8382
139	0.3104	0.8671	5.12	92.16	0.6314	0.8398	11.41	83.90	0.8511
140	0.3109	0.8722	5.43	92.37	0.9269	0.8242	5.88	80.51	0.8487
141	0.3092	0.8667	5.35	91.31	0.9111	0.8302	6.34	80.51	0.8505
142	0.2986	0.8763	5.12	93.01	0.7151	0.8387	9.85	79.66	0.8439
143	0.3018	0.8709	4.99	94.49	0.8242	0.8311	8.11	77.12	0.8381
144	0.3037	0.8683	5.35	93.43	1.0983	0.8324	6.35	79.66	0.8495
145	0.3015	0.8738	5.01	95.97	1.1590	0.8341	6.26	78.81	0.8484
146	0.3019	0.8702	5.13	94.28	1.1987	0.8361	6.16	76.27	0.8433
147	0.2954	0.8743	5.07	92.58	0.9340	0.8326	7.11	79.66	0.8476
148	0.2952	0.8757	4.87	94.28	0.8644	0.8331	7.55	79.66	0.8468
149	0.2968	0.8741	5.02	93.86	0.9255	0.8328	7.31	79.66	0.8473
150	0.3104	0.8741	5.19	94.49	1.0030	0.8413	6.08	83.05	0.8631
151	0.2888	0.8804	5.04	95.13	0.8471	0.8385	7.37	78.81	0.8479
152	0.2882	0.8804	5.18	95.55	1.1130	0.8324	5.85	76.27	0.8423
153	0.2860	0.8773	5.03	96.40	1.0162	0.8422	6.18	82.20	0.8612
154	0.2882	0.8819	5.01	94.49	0.8185	0.8412	8.30	81.36	0.8532
155	0.2956	0.8756	5.13	94.70	1.1170	0.8422	5.97	80.51	0.8575
156	0.2878	0.8760	5.04	95.97	1.2845	0.8342	5.75	81.36	0.8561
157	0.2855	0.8817	5.14	96.19	1.0757	0.8375	5.88	79.66	0.8532
158	0.2856	0.8767	5.00	95.55	0.8232	0.8378	8.37	80.51	0.8492
159	0.2820	0.8809	5.09	95.55	0.7547	0.8365	9.00	83.90	0.8555
160	0.2909	0.8777	5.01	94.49	1.0507	0.8423	5.85	83.90	0.8663
161	0.2942	0.8701	4.94	94.49	0.9012	0.8348	6.54	82.20	0.8566
162	0.2796	0.8827	5.08	95.76	1.2183	0.8302	5.57	77.97	0.8461
163	0.2803	0.8829	5.07	95.55	1.1435	0.8357	6.57	81.36	0.8548
164	0.3165	0.8790	5.25	95.97	0.5822	0.8425	8.77	78.81	0.8464
165	0.2878	0.8752	4.89	95.76	0.9339	0.8397	7.01	78.81	0.8494
166	0.2873	0.8801	5.17	96.40	1.0831	0.8222	6.45	79.66	0.8441
167	0.2834	0.8805	4.89	96.61	0.7327	0.8469	9.60	82.20	0.8550
168	0.3321	0.8802	5.13	95.97	0.7388	0.8475	10.11	82.20	0.8540
169	0.2810	0.8815	5.22	94.49	1.2451	0.8411	6.01	79.66	0.8547
170	0.2750	0.8838	4.87	96.82	0.7831	0.8381	8.42	78.81	0.8450
171	0.2774	0.8807	4.90	95.97	0.8232	0.8430	8.36	77.12	0.8434
172	0.2743	0.8839	4.92	96.19	1.4437	0.8317	5.94	80.51	0.8523
173	0.2772	0.8843	4.99	97.03	1.2333	0.8394	5.88	75.42	0.8436
174	0.2750	0.8824	5.10	96.61	0.8581	0.8365	8.01	82.20	0.8537
175	0.2742	0.8835	4.97	96.61	1.1767	0.8380	5.51	81.36	0.8586
176	0.2715	0.8847	4.99	96.19	0.8322	0.8457	7.71	79.66	0.8527
177	0.2719	0.8815	4.71	97.46	1.3604	0.8405	5.92	78.81	0.8525
178	0.2718	0.8813	4.86	96.82	1.1330	0.8325	6.84	80.51	0.8504
179	0.2779	0.8881	5.07	96.82	0.9426	0.8447	8.39	75.42	0.8400
180	0.2764	0.8803	4.84	97.25	1.1443	0.8474	7.14	76.27	0.8466
181	0.2713	0.8874	4.96	96.40	1.3670	0.8410	5.73	79.66	0.8553
182	0.2676	0.8887	4.84	96.61	1.1410	0.8429	6.89	81.36	0.8576
183	0.2652	0.8846	4.69	97.25	1.0435	0.8467	6.46	81.36	0.8606
184	0.2667	0.8888	4.99	96.82	1.3532	0.8362	6.12	79.66	0.8519
185	0.2656	0.8863	4.94	96.61	1.2962	0.8348	6.47	80.51	0.8525
186	0.2661	0.8861	4.69	96.82	1.0295	0.8385	7.70	80.51	0.8513
187	0.2663	0.8903	4.91	97.25	1.3902	0.8372	6.21	81.36	0.8565
188	0.2679	0.8876	4.86	97.25	1.2810	0.8301	6.27	77.97	0.8443
189	0.2652	0.8874	4.85	97.46	0.9401	0.8413	8.22	82.20	0.8556
190	0.2636	0.8904	4.77	97.25	1.2761	0.8402	6.36	81.36	0.8576
191	0.2646	0.8869	5.05	97.03	0.9114	0.8452	8.89	79.66	0.8495
192	0.2638	0.8901	4.80	96.82	1.1021	0.8447	7.63	78.81	0.8503
193	0.2626	0.8887	4.77	97.46	1.2632	0.8459	6.24	78.81	0.8544
194	0.2653	0.8901	4.97	96.61	1.3889	0.8395	6.43	77.12	0.8465
195	0.2669	0.8876	4.88	96.82	1.6079	0.8352	6.10	81.36	0.8558
196	0.2630	0.8874	4.81	97.25	1.3739	0.8429	6.17	77.97	0.8509
197	0.2656	0.8872	4.70	96.82	0.8374	0.8499	9.42	78.81	0.8484
198	0.2681	0.8880	5.00	96.82	1.3126	0.8396	6.04	78.81	0.8517
199	0.2654	0.8860	4.83	97.03	1.0850	0.8418	7.52	81.36	0.8555
200	0.2648	0.8859	4.75	97.03	0.8939	0.8459	9.59	78.81	0.8460
201	0.2649	0.8917	4.76	96.82	1.3359	0.8411	6.42	77.97	0.8494
202	0.2614	0.8873	4.70	97.25	0.8401	0.8526	10.53	79.66	0.8491
203	0.2585	0.8888	4.60	97.46	1.4490	0.8378	5.92	78.81	0.8511
204	0.2615	0.8872	4.71	97.03	1.2672	0.8459	6.70	77.12	0.8490
205	0.2642	0.8884	4.59	97.25	1.1827	0.8456	6.70	79.66	0.8552
206	0.2617	0.8863	4.82	97.03	1.2402	0.8416	6.90	78.81	0.8506
207	0.2672	0.8880	4.68	97.03	1.1001	0.8498	7.43	77.97	0.8513
208	0.2574	0.8933	4.75	97.46	1.5767	0.8441	5.82	79.66	0.8566
209	0.2596	0.8920	4.62	97.25	1.2290	0.8424	6.96	78.81	0.8508
210	0.2567	0.8924	4.84	97.25	1.5343	0.8366	6.11	80.51	0.8543
211	0.2563	0.8927	4.59	97.25	1.3055	0.8411	7.18	78.81	0.8496
212	0.2592	0.8916	4.71	97.46	1.7168	0.8387	5.97	77.97	0.8493
213	0.2590	0.8878	4.67	97.03	0.9950	0.8441	9.29	78.81	0.8459
214	0.2565	0.8933	4.58	97.46	1.0314	0.8460	9.06	77.97	0.8453
215	0.2562	0.8921	4.84	97.46	1.6493	0.8429	5.97	79.66	0.8557
216	0.2572	0.8944	4.78	97.03	1.6250	0.8400	6.17	78.81	0.8516
217	0.2563	0.8905	4.70	97.46	1.1973	0.8471	7.18	77.97	0.8505
218	0.2569	0.8943	4.86	97.46	1.6529	0.8409	5.87	77.97	0.8507
219	0.2545	0.8957	4.67	97.25	1.5366	0.8380	6.08	79.66	0.8530
220	0.2563	0.8915	4.55	97.25	1.5791	0.8394	5.94	78.81	0.8519
221	0.2603	0.8907	4.84	97.25	1.2576	0.8431	7.57	80.51	0.8539
222	0.2589	0.8928	4.75	97.03	1.2536	0.8435	6.81	77.97	0.8497
223	0.2542	0.8895	4.85	97.46	1.6174	0.8417	6.03	77.97	0.8507
224	0.2557	0.8928	4.60	97.46	1.3899	0.8404	6.37	77.97	0.8492
225	0.2560	0.8883	4.53	97.25	1.5416	0.8422	5.99	79.66	0.8553
226	0.2561	0.8939	4.59	97.46	1.4078	0.8438	6.37	80.51	0.8572
227	0.2562	0.8908	4.73	97.25	1.3892	0.8463	6.04	79.66	0.8572
228	0.2573	0.8936	4.64	96.82	1.5270	0.8435	6.09	77.97	0.8514
229	0.2552	0.8938	4.77	97.46	1.1946	0.8430	6.82	77.12	0.8472
230	0.2545	0.8933	4.65	97.46	1.4221	0.8433	6.29	78.81	0.8530
231	0.2534	0.8948	4.86	97.46	1.1828	0.8454	7.39	77.97	0.8491
232	0.2570	0.8899	4.66	97.03	1.3418	0.8444	6.45	77.97	0.8510
233	0.2544	0.8910	4.64	97.03	1.5697	0.8428	5.96	80.51	0.8578
234	0.2560	0.8927	4.57	97.46	1.1304	0.8458	7.47	77.97	0.8491
235	0.2592	0.8864	4.52	97.25	1.2260	0.8454	7.32	78.81	0.8514
236	0.2581	0.8898	4.74	97.46	1.3980	0.8432	6.17	79.66	0.8553
237	0.2546	0.8928	4.56	97.03	1.3121	0.8435	6.79	78.81	0.8518
238	0.2539	0.8933	4.79	97.46	1.0588	0.8479	7.96	78.81	0.8511
239	0.2590	0.8909	4.86	97.03	1.4491	0.8427	6.00	80.51	0.8576
240	0.2516	0.8946	4.65	97.03	1.6112	0.8416	5.85	81.36	0.8596
241	0.2521	0.8950	4.70	97.46	1.1437	0.8470	7.01	77.97	0.8509
242	0.2530	0.8949	4.63	97.25	1.3896	0.8412	6.83	82.20	0.8590
243	0.2552	0.8903	4.80	97.25	1.2018	0.8435	7.42	77.97	0.8481
244	0.2557	0.8885	4.65	97.25	1.2230	0.8456	7.60	77.97	0.8487
245	0.2554	0.8912	4.74	97.46	1.5310	0.8411	5.92	78.81	0.8528
246	0.2568	0.8872	4.59	97.25	1.0516	0.8460	8.49	77.97	0.8467
247	0.2568	0.8947	4.64	97.25	1.1651	0.8449	7.23	78.81	0.8514
248	0.2560	0.8932	4.75	97.03	1.4694	0.8457	6.12	78.81	0.8546
249	0.2579	0.8932	4.54	97.46	1.5785	0.8418	5.74	80.51	0.8578
250	0.2552	0.8939	4.84	97.46	1.3859	0.8430	6.62	80.51	0.8562
